,coef,std err,z,P>|z|,[0.025,0.975],pvalue_raw,features,iter,allele,HLA_typing,pval_Holm,nlog10_Pval
424,-0.4346,0.162,-2.678,0.007,-0.753,-0.117,0.007398708614709534,weakPos,25,DPB1*01:01,HLA-HD,1.0,-0.0
425,-0.3211,0.167,-1.919,0.055,-0.649,0.007,0.055030851095132546,weakPos,26,DPB1*01:01,HLA-HD,1.0,-0.0
426,-0.4709,0.165,-2.856,0.004,-0.794,-0.148,0.0042915119260667255,weakPos,27,DPB1*01:01,HLA-HD,1.0,-0.0
427,-0.1357,0.163,-0.834,0.404,-0.455,0.183,0.40444109702797926,weakPos,28,DPB1*01:01,HLA-HD,1.0,-0.0
428,-0.3345,0.164,-2.036,0.042,-0.657,-0.012,0.04176593541836725,weakPos,29,DPB1*01:01,HLA-HD,1.0,-0.0
429,-0.2767,0.166,-1.665,0.096,-0.602,0.049,0.09584581288053953,weakPos,30,DPB1*01:01,HLA-HD,1.0,-0.0
430,-0.4184,0.17,-2.467,0.014,-0.751,-0.086,0.013622507233955718,weakPos,31,DPB1*01:01,HLA-HD,1.0,-0.0
431,-0.0563,0.163,-0.345,0.73,-0.376,0.264,0.7301220682497955,weakPos,32,DPB1*01:01,HLA-HD,1.0,-0.0
432,-0.2085,0.159,-1.314,0.189,-0.52,0.102,0.18879634280766922,weakPos,33,DPB1*01:01,HLA-HD,1.0,-0.0
433,-0.1788,0.16,-1.117,0.264,-0.493,0.135,0.26406694319332746,weakPos,34,DPB1*01:01,HLA-HD,1.0,-0.0
434,-0.1418,0.161,-0.88,0.379,-0.458,0.174,0.3786338011482925,weakPos,35,DPB1*01:01,HLA-HD,1.0,-0.0
435,-0.3399,0.157,-2.166,0.03,-0.647,-0.032,0.03031462708012971,weakPos,36,DPB1*01:01,HLA-HD,1.0,-0.0
436,-0.4492,0.165,-2.73,0.006,-0.772,-0.127,0.006329805635319968,weakPos,37,DPB1*01:01,HLA-HD,1.0,-0.0
437,-0.1755,0.156,-1.122,0.262,-0.482,0.131,0.2619310071755909,weakPos,38,DPB1*01:01,HLA-HD,1.0,-0.0
438,-0.477,0.16,-2.984,0.003,-0.79,-0.164,0.002843235089533592,weakPos,39,DPB1*01:01,HLA-HD,1.0,-0.0
439,-0.5989,0.167,-3.582,0.0,-0.927,-0.271,0.00034113609375100503,weakPos,40,DPB1*01:01,HLA-HD,1.0,-0.0
440,-0.0768,0.161,-0.478,0.632,-0.392,0.238,0.6324654672079608,weakPos,41,DPB1*01:01,HLA-HD,1.0,-0.0
